ID,Cod_via,Nombre,Responsable,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Sector,Admon,Eje_adicio,Eje_adic_2,d_cat_i,d_cat_ii,d_cat_iii,d_cat_iv,d_cat_v,d_cat_vi,d_cat_vii,d_cat_viii,d_cat_ix,Latitud,Longitud,Departamento,gcd_departamento
50,9005,TURBACO,ConcesiOn ANI,3100,7600,9300,0,0,0,0,0,0,Cruz del Viso - Cartagena,Ruta Caribe,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes Pequenos,Camiones y Buses 2 ejes Grandes,,,,,,,10.356975453,-75.443416135,BolIvar,13
51,X5,URIBIA,Municipio,0,0,0,0,0,0,0,0,0,Cuatrovias - Uribia,,0,0,,,,,,,,,,11.606513783,-72.3218762409999,La Guajira,44
52,7010,LA PARADA,ConcesiOn ANI,2000,2000,2000,2000,2000,0,0,0,0,CUcuta - Puente Internacional SimOn BolIvar,Concesionaria San SimOn S.A,2000,0,,,,,,,,,,7.867456472,-72.4841646389999,Norte de Santander,54
53,6510,PUENTE AMARILLO,ConcesiOn ANI,3600,12500,7900,12500,17700,23700,26900,0,0,Cumaral - Barranca de UpIa,ConcesiOn Vial del Oriente - COVIORIENTE S.A.S,0,0,AutomOviles y camperos,Camiones y Buses 2 ejes pequenos,Camiones y Buses 2 ejes grandes,3 Y 4 ejes,5 Ejes,6 Ejes,CAT VII,,,4.194141805,-73.5966735819999,Meta,50
"54,6510,VERACRUZ,ConcesiOn ANI,6700,13500,8700,13500,19400,26000,29100,0,0,Cumaral - Barranca de UpIa,ConcesiOn Vial del Oriente - COVIORIENTE S.A.S,0,0,""AutomOviles, camperos y camionetas"",Buses,Camiones pequenos de 2 ejes,Camiones grandes de 2 ejes,3 y 4 Ejes,5 y 6 Ejes,CAT VII,,,4.261064058,-73.4481742889999,Meta,50"
55,X6,PEAJE NUEVO SALTO DE TEQUENDAMA,Departamento,9800,11800,11900,13900,26800,41400,44900,0,0,El Colegio - El Charquito,ConcesiOn Troncal del Tequendama.,0,0,AutomOviles y camperos,CategorIa  II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa  IV 3 y 4 ejes,CategorIa  V 5 Ejes,CategorIa  VI 6 Ejes,CategorIa VII,,,4.544131496,-74.268470241,Cundinamarca,25
56,4507,FLANDES,ConcesiOn ANI,11700,13900,15600,19900,33300,42700,48600,0,0,El Espinal - Girardot,ConcesiOn AutovIa Neiva - Girardot,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses  2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.192173107,-74.8610864989999,Tolima,73
57,5008B,EL KORAN,ConcesiOn ANI,12800,18000,25400,53100,66000,78300,0,0,0,El KorAn - Guaduas,CONCESION HELIOS,9100,8800,AutomOviles y camperos,CategorIa II Camiones y Buses 2 ejes pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,,,,5.497131704,-74.6137295909999,Cundinamarca,25
58,40CN01,PUESTO DE CONTROL BOQUERON II,ConcesiOn ANI,11900,35300,17800,47100,52900,58800,70500,0,0,El Portal - El Antojo,CONCESION COVIANDES S.A.,0,0,AutomOviles y camperos,CategorIa II Camiones y Buses 2 eje pequenos,CategorIa III Camiones y Buses 2 ejes grandes,CategorIa IV 3 y 4 Ejes,CategorIa V 5 Ejes,CategorIa VI 6 Ejes,CategorIa VII,,,4.454170743,-74.05008445,Cundinamarca,25
"59,5007,HONDA,ConcesiOn ANI,10700,11400,11900,12400,26500,36200,39200,0,0,Fresno - Honda,Concesionaria Alternativas Viales SAS.,0,0,AutomOviles y camperos,""Buses y busetas, camiones pequenos hasta 4.5 toneladas"",Camiones y buses 2 ejes grandes,Camiones de 3 y 4 ejes,Camiones de 5 ejes,,,,,5.201507469,-74.8203445129999,Tolima,73"
60,X7,LA TEBAIDA,Departamento,11200,13500,13500,15600,34500,42400,44800,0,0,Funza - Cota,CONCESION DEVISAB,0,0,AutomOviles y camperos,CategorIa II Buses y Busetas,CategorIa III Camiones y Buses 2 ejes pequenos,CategorIa IV Camiones y Buses 2 ejes grandes,CategorIa V Camiones de 3 y 4 ejes,CategorIa VI Volquetas y Camiones de 5 ejes,CategorIa VII 6 ejes Volquetas y Camiones,,,4.744624343,-74.1714772429999,Cundinamarca,25
